Sample	Population	Source	Haplotype	Sample_hap	x1	x2
HG00096	British	1000G	0	HG00096_H1	29.625973892389325	-64.30728538481557
HG00096	British	1000G	1	HG00096_H2	29.167044805670606	-64.08787029003693
HG00100	British	1000G	0	HG00100_H1	29.12137284100519	-64.95569038688896
HG00100	British	1000G	1	HG00100_H2	28.154880633060323	-64.49247914647472
HG00101	British	1000G	0	HG00101_H1	28.047752035174774	-62.441285971698974
HG00101	British	1000G	1	HG00101_H2	30.532045259625477	-64.30434239825273
HG00102	British	1000G	0	HG00102_H1	30.938171735200932	-63.19491160808596
HG00102	British	1000G	1	HG00102_H2	30.074221344870388	-64.53578690980001
HG00103	British	1000G	0	HG00103_H1	29.53040577158159	-63.02425771085319
HG00103	British	1000G	1	HG00103_H2	28.76515330033837	-63.99047129261149
HG00105	British	1000G	0	HG00105_H1	29.01888581658976	-61.71926311462025
HG00105	British	1000G	1	HG00105_H2	28.201727822410056	-64.81826695904833
HG00106	British	1000G	0	HG00106_H1	30.130125919527828	-63.975411057815094
HG00106	British	1000G	1	HG00106_H2	29.92062485967891	-64.96998897473603
HG00107	British	1000G	0	HG00107_H1	29.56953819354736	-63.23496514216352
HG00107	British	1000G	1	HG00107_H2	30.602930045329572	-63.88677354367695
HG00108	British	1000G	0	HG00108_H1	28.644397299700564	-64.31325462553217
HG00108	British	1000G	1	HG00108_H2	28.904886128824167	-63.48183319216983
HG00109	British	1000G	0	HG00109_H1	28.816588973015186	-63.478306235740064
HG00109	British	1000G	1	HG00109_H2	29.912585391358505	-64.58413616446259
HG00110	British	1000G	0	HG00110_H1	29.99559545000389	-62.35136639708561
HG00110	British	1000G	1	HG00110_H2	29.800401385876548	-64.5839743753551
HG00111	British	1000G	0	HG00111_H1	30.12877177226992	-64.50749873141964
HG00111	British	1000G	1	HG00111_H2	28.7539526965355	-63.57885075041156
HG00112	British	1000G	0	HG00112_H1	29.78288736456234	-64.95465768205555
HG00112	British	1000G	1	HG00112_H2	30.908223617193116	-62.43399515805298
HG00113	British	1000G	0	HG00113_H1	29.177768959165782	-63.16711796976669
HG00113	British	1000G	1	HG00113_H2	29.012621193934223	-64.68041661375354
HG00114	British	1000G	0	HG00114_H1	28.586664924546525	-63.881878474684086
HG00114	British	1000G	1	HG00114_H2	29.420347589872435	-62.63508833201841
HG00115	British	1000G	0	HG00115_H1	28.966916132491733	-65.02410983803236
HG00115	British	1000G	1	HG00115_H2	28.645454603537054	-64.95970254960751
HG00116	British	1000G	0	HG00116_H1	29.913563792924194	-63.734115095574666
HG00116	British	1000G	1	HG00116_H2	29.988337469520395	-64.431468169178
HG00117	British	1000G	0	HG00117_H1	30.2312776860293	-63.9191860582616
HG00117	British	1000G	1	HG00117_H2	30.006259965710427	-64.1360861973352
HG00118	British	1000G	0	HG00118_H1	29.474913320041928	-63.010047314509436
HG00118	British	1000G	1	HG00118_H2	29.4037030855515	-64.74305921387074
HG00119	British	1000G	0	HG00119_H1	28.83635575311815	-64.87889578712722
HG00119	British	1000G	1	HG00119_H2	30.195600424818608	-63.092230236176206
HG00120	British	1000G	0	HG00120_H1	29.04972223743168	-64.20276926952174
HG00120	British	1000G	1	HG00120_H2	29.75420809567064	-65.35185528405908
HG00121	British	1000G	0	HG00121_H1	30.21541364597301	-64.6929419084231
HG00121	British	1000G	1	HG00121_H2	29.854439683696583	-64.89135284441957
HG00122	British	1000G	0	HG00122_H1	30.06230023829466	-64.23263258211075
HG00122	British	1000G	1	HG00122_H2	29.03492058109829	-64.7451083392973
HG00123	British	1000G	0	HG00123_H1	29.690059013611986	-64.80935782319358
HG00123	British	1000G	1	HG00123_H2	28.30610818689094	-64.08628894366039
HG00125	British	1000G	0	HG00125_H1	29.236179262097103	-63.79974667928755
HG00125	British	1000G	1	HG00125_H2	28.92207124240361	-63.89121089373049
HG00127	British	1000G	0	HG00127_H1	30.4778682810364	-64.77743068291102
HG00127	British	1000G	1	HG00127_H2	29.756596332284104	-64.93374323270285
HG00129	British	1000G	0	HG00129_H1	28.998090518905556	-63.624818713598714
HG00129	British	1000G	1	HG00129_H2	29.765165923439092	-64.21002436899013
HG00130	British	1000G	0	HG00130_H1	28.443161267566516	-63.403913096585455
